Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Manchester City,20,19,1,0,61,12,49,62
2,Manchester United,20,13,4,3,43,16,27,47
3,Chelsea,20,13,3,4,34,14,20,46
4,Liverpool,20,10,8,2,46,23,23,44
5,Tottenham Hotspur,20,11,4,5,39,20,19,41
6,Arsenal,20,11,4,5,37,25,12,39
7,Burnley,20,9,6,5,18,17,1,34
8,Leicester City,20,7,6,7,30,30,0,30
9,Everton,20,7,6,7,24,30,?6,27
10,Watford,20,7,4,9,29,35,?6,25
11,Huddersfield Town,20,6,5,9,18,32,?14,24
12,Brighton & Hove Albion,20,5,6,9,15,25,?10,23
13,Newcastle,20,5,5,10,23,41,?18,22
14,Crystal Palace,20,4,7,9,20,30,?10,22
15,West Ham,20,5,3,12,19,30,?11,22
16,Bournemouth,20,4,6,10,18,32,?14,21
17,Southampton,20,4,6,10,22,38,?16,20
18,Stoke City,20,4,5,11,18,31,?13,20
19,West Bromwich Albion,20,2,9,9,14,27,?13,16
20,Swansea City,20,3,4,13,11,31,?20,16
