Player,GP,GS,MP,G,A,SOG,S,YC,RC
Lacazette,24,21,1707,9,3,29,55,1,0
Sánchez,19,17,1507,7,3,26,69,4,0
Giroud,15,1,360,4,0,6,18,0,0
Ozil,19,17,1534,4,6,9,30,3,0
Monreal,20,20,1699,3,2,4,12,3,0
Oxlade-Chamberlain,24,12,1222,3,3,13,34,1,0
Ramsey,16,14,1213,3,6,17,40,0,0
Welbeck,16,7,704,3,1,7,17,1,0
Bellerín,24,24,2160,2,1,8,25,3,0
Iwobi,14,11,930,2,2,16,30,1,0
Mustafi,15,14,1230,2,0,4,8,2,0
Kolasinac,18,17,1435,1,4,5,15,1,0
Koscielny,19,19,1687,1,0,1,5,3,0
Mertesacker,5,4,352,1,0,2,2,0,0
Wilshere,13,8,806,1,2,3,10,4,0
Xhaka,24,24,2086,1,4,11,51,5,0
Cech,24,24,2160,0,0,0,0,1,0
Chambers,4,4,342,0,0,0,2,1,0
Coquelin,7,1,165,0,0,0,1,0,0
Elneny,6,4,354,0,1,1,4,1,0
Holding,7,5,444,0,0,0,1,2,0
Maitland-Niles,9,5,563,0,0,0,4,0,0
Nelson,1,0,18,0,0,0,0,0,0
Walcott,7,1,152,0,1,1,1,1,0
